cell_id,donor,condition,state,x_um,y_um,rna_a,rna_b,embed_x,embed_y
D02-perturbed-062,D02,perturbed,S1,206.376,237.431,0.3849,1.2176,0.397,0.0707
D02-perturbed-063,D02,perturbed,S2,485.144,60.428,1.4655,1.4679,1.8571,2.5284
D02-perturbed-064,D02,perturbed,S2,753.786,190.974,0.9676,0.8859,1.7457,3.2288
D02-perturbed-065,D02,perturbed,S2,693.176,235.637,1.1362,1.2298,2.3536,2.2997
D02-perturbed-066,D02,perturbed,S2,43.232,316.197,0.8674,1.404,2.0335,2.3052
D02-perturbed-067,D02,perturbed,S2,105.631,175.829,1.308,0.8294,1.4814,1.2097
D02-perturbed-068,D02,perturbed,S2,392.433,492.418,1.4522,1.4021,3.4291,2.0945
D02-perturbed-069,D02,perturbed,S2,325.872,351.54,1.9743,1.0854,1.5541,2.1574
D02-perturbed-070,D02,perturbed,S1,185.522,147.298,0.3087,1.4582,0.6338,-0.6615
D02-perturbed-071,D02,perturbed,S1,759.909,54.102,0.8999,1.7948,0.2599,0.417
D02-perturbed-072,D02,perturbed,S1,691.985,54.341,0.763,1.9034,-0.1052,-0.1104
D02-perturbed-073,D02,perturbed,S1,472.393,270.432,1.3949,1.6105,0.8463,0.3858
D02-perturbed-074,D02,perturbed,S2,327.792,440.302,2.0828,1.473,2.6739,2.096
D02-perturbed-075,D02,perturbed,S2,375.467,90.339,1.3287,1.3394,2.2933,2.047
D02-perturbed-076,D02,perturbed,S1,292.304,284.68,0.1543,1.8734,0.7755,-0.4133
D02-perturbed-077,D02,perturbed,S2,508.63,245.257,1.5057,1.1828,1.8695,2.3333
D02-perturbed-078,D02,perturbed,S2,313.517,287.887,1.6734,1.3336,2.3493,2.4201
D02-perturbed-079,D02,perturbed,S2,128.905,274.662,1.753,0.6545,1.276,1.5735
D03-control-000,D03,control,S3,488.817,314.757,1.2125,0.6613,3.7378,-1.2511
D03-control-001,D03,control,S3,555.678,133.564,1.5241,1.0496,3.9986,-0.0968
D03-control-002,D03,control,S1,82.782,144.373,1.0368,2.1475,0.8084,-0.0635
D03-control-003,D03,control,S1,277.655,353.571,0.3855,1.7182,-0.0931,0.485
D03-control-004,D03,control,S1,193.928,256.912,0.722,1.6988,-0.3275,0.9822
D03-control-005,D03,control,S2,471.726,433.794,0.8913,1.029,3.0194,1.9421
D03-control-006,D03,control,S2,712.904,491.268,1.8664,1.9505,2.5376,2.1852
D03-control-007,D03,control,S1,704.908,233.653,0.0059,1.7122,0.0365,0.174
D03-control-008,D03,control,S2,236.422,135.479,0.7123,1.2843,2.6497,1.3459
D03-control-009,D03,control,S1,466.663,432.366,1.0027,2.0622,-0.0313,0.0197
D03-control-010,D03,control,S2,622.771,169.107,1.4602,0.8442,1.5936,2.6171
D03-control-011,D03,control,S1,296.648,254.436,0.5125,1.4647,-0.0614,0.3448
D03-control-012,D03,control,S2,450.456,152.48,1.456,1.3655,1.4136,2.7219
D03-control-013,D03,control,S1,145.119,479.824,0.2817,2.0895,-0.2193,0.3594
D03-control-014,D03,control,S3,62.995,372.065,1.2556,0.4682,4.223,-1.0294
D03-control-015,D03,control,S1,359.834,4.863,0.9066,1.7192,-0.6402,-1.3114
D03-control-016,D03,control,S2,104.296,99.088,0.9734,1.6118,2.1993,2.0845
D03-control-017,D03,control,S2,693.134,49.222,0.7491,1.6541,2.8703,2.4437
D03-control-018,D03,control,S2,711.563,176.991,1.0886,1.6196,1.7189,1.8515
D03-control-019,D03,control,S3,511.878,73.657,1.6745,0.7372,4.5408,-0.3413
D03-control-020,D03,control,S1,115.979,143.095,0.5607,2.1365,0.1432,0.2576
D03-control-021,D03,control,S2,675.178,199.309,1.5096,0.292,2.2472,2.6417
D03-control-022,D03,control,S1,346.939,128.81,0.457,1.1643,0.4647,-0.0248
D03-control-023,D03,control,S3,540.059,344.408,1.7826,1.0698,3.5555,0.8181
D03-control-024,D03,control,S1,281.696,167.666,0.8002,1.3875,-0.9162,-0.2534
D03-control-025,D03,control,S1,6.092,476.565,0.8025,1.8384,-0.0693,0.9476
D03-control-026,D03,control,S3,405.101,460.015,2.0931,0.2376,4.1994,-0.4002
D03-control-027,D03,control,S2,107.269,266.706,0.3964,1.2679,2.8299,1.4873
D03-control-028,D03,control,S1,616.189,163.728,0.4957,1.6465,-0.1703,-0.0882
D03-control-029,D03,control,S1,372.347,315.984,0.2486,1.6413,0.6034,0.8255
D03-control-030,D03,control,S3,677.442,72.1,2.2011,0.6982,4.5138,-0.5237
D03-control-031,D03,control,S1,426.325,120.442,0.0844,1.8594,0.2757,-0.233
D03-control-032,D03,control,S1,645.208,344.505,0.8506,1.9007,-0.0896,0.5914
D03-control-033,D03,control,S1,631.0,362.422,0.1007,1.7706,0.513,-0.0467
D03-control-034,D03,control,S3,297.443,151.041,1.5855,0.8094,3.3106,-0.7946
D03-control-035,D03,control,S1,558.68,69.166,0.9551,2.0247,-1.4395,0.6162
D03-control-036,D03,control,S1,291.8,482.899,1.2597,2.374,0.2229,-0.9661
D03-control-037,D03,control,S2,572.679,341.849,1.4009,0.6663,2.8314,0.9174
D03-control-038,D03,control,S2,298.013,399.982,1.2147,1.311,1.3065,1.3008
D03-control-039,D03,control,S1,139.504,126.119,0.541,1.803,0.3575,0.3663
D03-control-040,D03,control,S2,447.552,144.009,1.0801,1.4783,1.6667,1.9741
D03-control-041,D03,control,S1,429.804,314.778,1.7064,1.6301,0.114,0.4266
D03-control-042,D03,control,S1,481.146,171.109,1.0017,1.2477,0.3679,-0.0048
D03-control-043,D03,control,S3,70.37,393.077,1.7528,0.7871,5.0051,0.5231
D03-control-044,D03,control,S2,280.519,83.144,1.1973,1.1268,1.6164,2.3481
D03-control-045,D03,control,S2,298.3,290.997,1.0944,2.0953,0.9038,2.0246
D03-control-046,D03,control,S1,754.409,404.853,0.9543,1.5758,0.8846,-0.7985
D03-control-047,D03,control,S2,773.512,222.545,1.1999,1.4181,1.7061,2.5113
D03-control-048,D03,control,S3,53.206,221.778,1.5871,0.3669,4.8476,0.5208
D03-control-049,D03,control,S2,701.622,105.652,1.7032,0.8912,1.9077,0.4911
D03-control-050,D03,control,S3,321.065,155.423,0.647,0.6566,5.238,0.2714
D03-control-051,D03,control,S2,543.184,93.163,0.5314,1.5246,2.1591,2.1717
D03-control-052,D03,control,S1,365.755,357.478,1.8226,2.2345,0.522,-0.2056
D03-control-053,D03,control,S2,679.547,290.526,1.2619,1.6274,2.5619,1.5011
D03-control-054,D03,control,S2,714.002,451.201,1.0661,1.285,2.0407,2.7597
D03-control-055,D03,control,S1,65.781,272.478,0,1.5699,0.0259,-0.5863
D03-control-056,D03,control,S2,174.887,97.44,1.1878,1.5454,1.7341,1.2533
D03-control-057,D03,control,S3,276.233,378.216,1.2404,0.6561,4.407,0.1892
D03-control-058,D03,control,S1,478.834,11.309,0.274,1.5649,0.0326,-0.45
D03-control-059,D03,control,S1,540.849,52.76,0.4583,2.1288,-0.1069,-0.4603
D03-control-060,D03,control,S2,149.007,461.793,0.873,1.4549,1.9537,2.079
D03-control-061,D03,control,S2,36.848,263.273,1.1218,1.5611,2.5499,1.0626
D03-control-062,D03,control,S2,638.306,145.502,1.0293,0.6912,2.84,2.4345
D03-control-063,D03,control,S1,686.466,271.87,0.0522,1.6405,-0.0584,0.0697
D03-control-064,D03,control,S1,28.219,327.341,0.6645,1.9036,-0.1256,-0.1823
D03-control-065,D03,control,S1,481.725,163.497,0.9845,2.16,0.0881,0.9505
D03-control-066,D03,control,S1,488.583,239.456,0.5479,1.8396,-0.2142,-0.9274
D03-control-067,D03,control,S1,397.009,101.787,0.9462,2.0499,0.6536,0.6513
D03-control-068,D03,control,S1,349.145,312.709,0.5324,1.9324,0.2136,-0.0445
D03-control-069,D03,control,S2,706.61,248.012,0.87,1.0338,1.3391,2.7138
D03-control-070,D03,control,S1,84.423,45.567,0.3205,1.7645,1.0982,-0.6539
D03-control-071,D03,control,S1,762.88,393.546,0.9509,1.9192,-0.3598,-0.1336
D03-control-072,D03,control,S3,83.726,488.554,1.6756,0.4961,3.2767,0.8188
D03-control-073,D03,control,S2,727.784,134.392,1.0444,1.3062,2.7087,3.2263
D03-control-074,D03,control,S1,437.357,377.084,0.2192,1.0458,0.5606,0.3657
D03-control-075,D03,control,S1,714.868,396.724,0.9132,2.0766,-0.5331,0.0512
D03-control-076,D03,control,S2,244.56,140.615,1.0701,1.3371,1.8776,0.6109
D03-control-077,D03,control,S2,533.717,173.499,1.4809,1.5868,2.5215,2.3188
D03-control-078,D03,control,S2,585.801,492.444,0.5485,1.4566,1.3831,1.262
D03-control-079,D03,control,S1,465.471,10.689,0.0136,1.5966,-0.1239,-0.3325
D03-perturbed-000,D03,perturbed,S1,257.284,154.917,1.0588,1.8184,0.8251,-0.719
D03-perturbed-001,D03,perturbed,S1,90.724,364.903,0.6012,1.3818,-0.1696,0.4186
D03-perturbed-002,D03,perturbed,S1,19.694,455.252,1.0292,1.8357,-0.7679,-0.3831
D03-perturbed-003,D03,perturbed,S3,458.892,45.283,1.4295,0.896,3.2033,-0.2608
D03-perturbed-004,D03,perturbed,S3,210.217,93.887,1.6237,0.7764,4.3881,-0.2457
D03-perturbed-005,D03,perturbed,S1,227.828,76.91,1.2528,0.894,0.3601,0.3277
D03-perturbed-006,D03,perturbed,S2,591.355,82.997,1.1609,1.5894,1.3157,1.9347
D03-perturbed-007,D03,perturbed,S2,668.247,132.541,1.5061,0.9667,2.0556,2.1821
D03-perturbed-008,D03,perturbed,S1,264.0,157.01,0.7692,1.3843,1.2821,0.1909
D03-perturbed-009,D03,perturbed,S1,237.784,102.573,0.9542,1.8719,0.8588,-0.4118
D03-perturbed-010,D03,perturbed,S1,765.219,19.825,1.2091,1.4591,-0.1372,0.6339
D03-perturbed-011,D03,perturbed,S2,457.949,189.539,1.2567,0.7992,1.4253,1.6904
D03-perturbed-012,D03,perturbed,S2,638.424,158.654,1.3317,1.0621,2.1201,2.1143
D03-perturbed-013,D03,perturbed,S3,671.721,236.43,1.2168,1.0177,4.66,-0.1092
D03-perturbed-014,D03,perturbed,S3,460.213,323.782,2.0692,0.1615,3.7572,-0.6659
D03-perturbed-015,D03,perturbed,S3,266.905,194.431,1.7088,0.3465,4.9906,-0.4804
D03-perturbed-016,D03,perturbed,S1,381.482,113.62,0.9061,1.5291,-0.5003,0.5087
D03-perturbed-017,D03,perturbed,S2,397.769,391.851,1.6471,0.9764,1.9916,2.7057
D03-perturbed-018,D03,perturbed,S2,652.216,330.932,1.8307,1.4726,0.7891,2.4765
D03-perturbed-019,D03,perturbed,S1,586.92,150.866,0.7695,2.6635,0.2561,0.7094
D03-perturbed-020,D03,perturbed,S3,149.506,66.895,2.1225,0.7329,4.0687,-0.4817
D03-perturbed-021,D03,perturbed,S2,382.434,119.903,0.8545,1.2573,2.3921,2.5559
D03-perturbed-022,D03,perturbed,S2,180.94,449.834,1.5217,1.4519,3.0711,1.7962
D03-perturbed-023,D03,perturbed,S1,378.179,466.352,0.8691,1.7708,-0.4116,0.6735
D03-perturbed-024,D03,perturbed,S1,755.464,52.533,0.7201,1.7641,-0.6923,-0.3696
D03-perturbed-025,D03,perturbed,S1,752.412,101.616,0.8388,1.916,0.3054,0.4712
D03-perturbed-026,D03,perturbed,S1,514.936,66.526,0.7787,1.7912,0.1174,0.48
D03-perturbed-027,D03,perturbed,S3,96.471,289.996,1.4291,0.6847,4.3427,-0.6688
D03-perturbed-028,D03,perturbed,S1,711.99,270.658,0.9525,1.9535,-0.5479,-0.0735
D03-perturbed-029,D03,perturbed,S1,186.48,299.131,1.0695,2.129,-0.3991,0.1827
D03-perturbed-030,D03,perturbed,S3,530.496,329.122,1.4244,0.8639,3.9732,-0.3059
D03-perturbed-031,D03,perturbed,S2,772.404,137.794,1.384,1.096,2.4498,1.6545
D03-perturbed-032,D03,perturbed,S2,723.766,26.026,1.3779,1.3709,2.0286,2.0301
D03-perturbed-033,D03,perturbed,S1,383.442,205.624,0.7282,1.7549,-0.1499,0.07
D03-perturbed-034,D03,perturbed,S2,667.168,10.168,1.4292,1.2965,1.7133,2.6515
D03-perturbed-035,D03,perturbed,S2,112.293,494.231,1.7231,1.3513,2.2424,1.2556
D03-perturbed-036,D03,perturbed,S1,663.898,120.22,0.9071,1.66,0.1155,-0.6472
D03-perturbed-037,D03,perturbed,S2,281.459,495.257,1.9302,1.3449,2.7427,2.353
D03-perturbed-038,D03,perturbed,S1,269.529,113.4,1.6175,1.8448,-1.4138,-0.2109
D03-perturbed-039,D03,perturbed,S2,659.008,312.217,2.0778,0.9224,2.2066,1.8237
D03-perturbed-040,D03,perturbed,S2,97.325,496.625,1.2303,1.2988,1.6444,1.3394
D03-perturbed-041,D03,perturbed,S2,591.111,88.927,1.235,1.1731,1.3998,2.5903
D03-perturbed-042,D03,perturbed,S3,794.188,152.071,2.237,0.815,3.4632,-0.8983
D03-perturbed-043,D03,perturbed,S1,316.467,428.293,1.8237,2.193,0.7192,0.3762
D03-perturbed-044,D03,perturbed,S3,40.522,279.999,1.5679,0.9001,4.565,-0.6694
D03-perturbed-045,D03,perturbed,S3,75.161,25.198,1.8035,0,4.4219,-1.0111
D03-perturbed-046,D03,perturbed,S1,414.98,354.174,1.1341,2.1823,0.0347,-1.0893
D03-perturbed-047,D03,perturbed,S2,766.554,469.412,2.5423,0.9789,2.2008,2.3327
D03-perturbed-048,D03,perturbed,S1,411.375,342.882,0.851,1.9317,-1.0667,0.068
D03-perturbed-049,D03,perturbed,S1,24.487,198.789,1.3991,1.5174,0.3812,0.1175
D03-perturbed-050,D03,perturbed,S2,148.86,470.306,0.7521,0.7966,2.2181,1.843
D03-perturbed-051,D03,perturbed,S3,66.093,273.12,1.8042,0.6332,3.9402,1.6677
D03-perturbed-052,D03,perturbed,S3,271.121,117.071,2.5123,0.6212,4.4618,-0.6725
D03-perturbed-053,D03,perturbed,S2,358.69,388.808,2.0866,0.8627,2.6456,1.6846
D03-perturbed-054,D03,perturbed,S3,46.034,411.615,2.0837,0.6579,3.5647,-0.7369
D03-perturbed-055,D03,perturbed,S2,715.815,13.234,1.0888,0.7728,2.4066,1.8896
D03-perturbed-056,D03,perturbed,S1,437.726,166.465,1.1011,2.0518,0.3809,0.0067
D03-perturbed-057,D03,perturbed,S3,74.664,39.372,2.3306,0.4207,3.6992,-0.511
D03-perturbed-058,D03,perturbed,S1,580.308,346.767,1.0636,1.875,-0.4181,0.3855
D03-perturbed-059,D03,perturbed,S2,782.974,132.779,1.2185,1.4169,2.0371,1.6413
D03-perturbed-060,D03,perturbed,S1,88.23,302.814,0.7629,1.7576,0.5166,-0.022
D03-perturbed-061,D03,perturbed,S3,339.391,274.205,1.8288,0.3894,3.7972,0.4597
D03-perturbed-062,D03,perturbed,S1,662.47,122.15,0.4897,1.7321,-0.5009,1.404
D03-perturbed-063,D03,perturbed,S1,629.878,51.806,1.311,1.5265,-0.4582,-0.7093
D03-perturbed-064,D03,perturbed,S2,361.952,283.127,1.6806,1.0395,1.2507,3.3374
D03-perturbed-065,D03,perturbed,S2,441.126,384.935,1.1709,1.2978,1.6501,1.2453
D03-perturbed-066,D03,perturbed,S1,263.058,254.081,0.6852,1.4696,-0.4932,0.6128
D03-perturbed-067,D03,perturbed,S1,731.722,308.562,0.6537,2.3118,0.0796,0.7283
D03-perturbed-068,D03,perturbed,S1,33.492,112.531,0.5807,1.7007,-0.5472,-0.1971
D03-perturbed-069,D03,perturbed,S1,359.517,43.858,0.6632,1.8693,1.2707,1.0853
D03-perturbed-070,D03,perturbed,S1,153.582,252.602,0.8218,1.7664,1.2076,-0.1068
D03-perturbed-071,D03,perturbed,S2,535.182,250.107,1.0469,1.4188,1.6126,1.55
D03-perturbed-072,D03,perturbed,S3,749.386,193.083,1.6727,0.7149,4.3057,-0.2467
D03-perturbed-073,D03,perturbed,S1,450.486,155.323,1.16,1.7116,0.0639,0.1876
D03-perturbed-074,D03,perturbed,S2,456.225,282.415,1.6355,1.232,1.9337,2.342
D03-perturbed-075,D03,perturbed,S3,451.828,334.355,2.086,0.0113,4.2888,0.4366
D03-perturbed-076,D03,perturbed,S1,581.192,167.522,0.951,1.6819,-0.0301,0.0316
D03-perturbed-077,D03,perturbed,S2,294.742,215.661,1.9457,0.8984,1.5955,2.2841
D03-perturbed-078,D03,perturbed,S3,508.935,383.75,1.7866,0.8422,3.7589,0.0241
D03-perturbed-079,D03,perturbed,S2,498.413,154.861,1.7105,1.3864,2.2199,0.9632
D04-control-000,D04,control,S3,704.358,22.626,1.6457,0.3041,3.1591,0.7575
D04-control-001,D04,control,S1,532.567,157.052,0.7968,1.1171,-0.026,0.7051
D04-control-002,D04,control,S3,398.075,266.445,1.0057,0.5826,4.5663,-0.4625
D04-control-003,D04,control,S2,308.28,347.437,0.7098,0.9182,2.0728,1.7075
D04-control-004,D04,control,S2,90.064,35.852,0.5913,1.8585,2.232,2.8297
D04-control-005,D04,control,S3,599.162,94.692,1.5529,0.8694,4.8251,-0.383
D04-control-006,D04,control,S2,180.74,372.213,0.5759,1.221,2.3011,2.2997
D04-control-007,D04,control,S1,50.36,293.512,0,1.5131,-0.1961,0.0717
D04-control-008,D04,control,S1,50.364,439.368,0,1.2272,0.5068,-0.3378
D04-control-009,D04,control,S1,297.158,360.54,0.993,1.4838,0.0885,1.713
D04-control-010,D04,control,S1,147.28,390.624,0.7496,1.1565,-0.4273,0.6915
D04-control-011,D04,control,S3,181.625,212.617,1.4107,0.0517,4.3779,0.1427
D04-control-012,D04,control,S3,141.619,300.82,1.6233,0.1091,4.2223,0.2638
D04-control-013,D04,control,S3,87.209,315.643,1.1441,0.2964,3.9705,0.3889
D04-control-014,D04,control,S2,105.406,376.528,0.9391,1.6439,2.4287,2.3963
D04-control-015,D04,control,S2,787.629,191.552,0.7214,0.5876,2.0306,2.0948
D04-control-016,D04,control,S3,249.166,172.164,2.2435,0.474,4.4698,-0.2249
D04-control-017,D04,control,S1,86.846,330.852,0.6387,0.7668,-0.0677,0.265
D04-control-018,D04,control,S1,687.315,292.307,0.417,1.5264,-0.6074,0.1429
D04-control-019,D04,control,S3,285.976,412.855,1.2124,0.1689,3.9909,0.161
D04-control-020,D04,control,S1,444.44,38.087,0.1411,1.4639,-0.1717,-0.4421
D04-control-021,D04,control,S3,48.186,6.192,1.1104,0.2585,4.1088,0.167
D04-control-022,D04,control,S2,476.92,396.933,1.2288,1.2958,2.6914,1.3007
D04-control-023,D04,control,S3,393.747,132.18,1.0011,0,4.4664,-0.4534
D04-control-024,D04,control,S3,185.586,207.706,1.9275,0.9302,3.8505,-0.1748
D04-control-025,D04,control,S3,33.707,165.008,1.7618,0.8334,3.335,-0.519
D04-control-026,D04,control,S2,756.886,6.447,0.0724,1.0211,1.6378,1.9128
D04-control-027,D04,control,S1,693.518,489.223,0.1571,1.2355,-0.712,-1.5927
D04-control-028,D04,control,S1,667.502,23.381,0.654,1.8037,0.7467,-0.307
D04-control-029,D04,control,S3,608.228,76.555,1.0416,0.0373,3.1906,-0.339
D04-control-030,D04,control,S1,22.771,312.633,0.0791,1.0436,0.5625,-0.2062
D04-control-031,D04,control,S1,143.173,489.658,0.5727,1.4297,-0.7587,-1.5423
D04-control-032,D04,control,S1,767.33,246.117,0.28,1.8875,-0.1248,0.2218
D04-control-033,D04,control,S2,18.33,113.755,0.5408,0.8776,2.3742,1.2293
D04-control-034,D04,control,S2,260.994,106.605,1.0553,1.4059,2.0197,3.1254
D04-control-035,D04,control,S3,512.054,446.613,1.2343,0.7989,4.1446,-0.9936
D04-control-036,D04,control,S3,285.926,218.983,1.5238,1.0413,4.7616,1.7376
D04-control-037,D04,control,S1,734.439,435.761,0.0413,0.8321,-0.2286,0.2938
D04-control-038,D04,control,S2,655.517,251.049,0.887,1.1389,1.8565,1.2944
D04-control-039,D04,control,S2,110.522,142.719,1.2488,1.3916,2.1478,1.7627
D04-control-040,D04,control,S3,409.941,62.323,1.139,0,3.9634,0.6669
D04-control-041,D04,control,S2,154.893,304.991,0.7251,1.3782,2.149,1.4169
D04-control-042,D04,control,S3,266.491,369.899,0.7897,0.3249,2.9842,1.1412
D04-control-043,D04,control,S1,788.451,259.46,0.9459,0.9975,-0.4979,-1.5193
D04-control-044,D04,control,S1,769.643,64.737,0.1602,1.4146,1.3456,-0.8993
D04-control-045,D04,control,S1,532.999,442.473,0.2101,1.7747,0.4465,0.6186
D04-control-046,D04,control,S1,508.489,279.852,0.7378,1.9964,0.2933,-0.4375
D04-control-047,D04,control,S1,230.474,442.836,0.389,1.7766,1.0348,-0.9526
D04-control-048,D04,control,S1,334.107,388.091,0.4424,1.1902,-0.54,0.9342
D04-control-049,D04,control,S3,513.876,86.687,1.7587,0.1519,4.2339,0.5674
D04-control-050,D04,control,S3,204.373,226.188,1.4475,0,4.4448,0.1426
D04-control-051,D04,control,S2,376.123,473.579,0.8658,1.8751,2.7752,3.5015
D04-control-052,D04,control,S2,110.971,135.857,0.9088,1.1289,1.4638,1.5432
D04-control-053,D04,control,S3,90.185,111.271,0.8441,0.206,3.7792,-1.2727
D04-control-054,D04,control,S1,692.127,176.868,0,1.5923,0.6658,0.7519
D04-control-055,D04,control,S3,511.537,65.085,1.2404,0.4168,4.256,0.1878
D04-control-056,D04,control,S1,369.932,199.694,0.1066,0.945,-0.9504,-0.5575
D04-control-057,D04,control,S2,692.123,188.896,0.9579,0.6195,2.8062,1.6498
D04-control-058,D04,control,S1,493.757,326.518,1.2857,2.3288,1.1722,0.1395
D04-control-059,D04,control,S1,437.198,383.37,0.9233,1.3697,0.3049,-0.7886
D04-control-060,D04,control,S3,714.383,417.081,1.1833,0.457,4.5366,0.3496
D04-control-061,D04,control,S1,653.185,54.92,0.5566,2.191,0.0162,-0.3392
D04-control-062,D04,control,S3,560.914,371.302,1.7896,0.424,4.6664,-0.8234
D04-control-063,D04,control,S3,275.256,311.706,1.3947,0.8205,4.1533,-0.4542
D04-control-064,D04,control,S3,218.259,489.945,1.3117,0.0647,3.9625,-0.2873
D04-control-065,D04,control,S3,159.897,463.979,1.9349,0,3.8608,-0.6006
D04-control-066,D04,control,S1,278.552,344.72,0.1023,1.2909,-0.4743,-0.5663
D04-control-067,D04,control,S1,760.809,449.112,0.6126,1.189,-0.0673,-0.1945
D04-control-068,D04,control,S2,564.894,187.167,1.0603,1.1576,2.0815,0.9993
D04-control-069,D04,control,S1,441.09,234.158,0.1452,1.291,-0.3164,0.0049
D04-control-070,D04,control,S1,263.138,336.738,0.0552,1.5479,0.5105,-0.5026
D04-control-071,D04,control,S1,646.799,237.118,1.1531,2.2219,-0.5859,0.6381
D04-control-072,D04,control,S1,483.0,383.092,0.8071,1.8642,-0.8129,0.8878
D04-control-073,D04,control,S1,363.875,68.834,0.2412,1.4025,0.1217,-0.1568
D04-control-074,D04,control,S1,425.218,377.832,0.571,2.0419,-0.1544,-0.6054
D04-control-075,D04,control,S2,62.139,127.051,1.2373,1.3776,2.2935,2.3324
D04-control-076,D04,control,S2,531.782,415.267,1.0108,0.3791,2.1565,1.0389
D04-control-077,D04,control,S1,526.732,408.233,1.0884,1.7671,-0.0195,1.0014
D04-control-078,D04,control,S3,694.859,456.845,1.5883,0.2028,3.5735,-1.0554
D04-control-079,D04,control,S3,448.174,467.389,1.2311,0.567,4.3878,-0.6818
D04-perturbed-000,D04,perturbed,S3,28.469,396.04,1.3788,0.6917,5.0565,0.6525
D04-perturbed-001,D04,perturbed,S2,163.332,0.044,1.7758,0.6234,1.9699,1.3928
D04-perturbed-002,D04,perturbed,S2,500.329,481.721,1.1704,0.7642,1.9361,2.5365
D04-perturbed-003,D04,perturbed,S1,551.404,444.402,0.3823,1.5199,0.0673,0.2082
D04-perturbed-004,D04,perturbed,S2,407.206,361.54,0.7159,1.0163,2.0735,1.77
D04-perturbed-005,D04,perturbed,S3,337.83,267.35,1.7703,0,5.0276,-0.0207
D04-perturbed-006,D04,perturbed,S1,343.334,240.685,0.3494,1.3157,-0.3626,-0.3404
D04-perturbed-007,D04,perturbed,S3,462.218,213.662,1.7437,0.3564,3.8999,0.1523
D04-perturbed-008,D04,perturbed,S2,490.964,334.382,1.6517,0.7227,1.815,1.1428
D04-perturbed-009,D04,perturbed,S3,194.146,302.825,2.0541,0,4.647,1.3396
D04-perturbed-010,D04,perturbed,S3,626.945,379.101,1.8882,0.283,3.7693,0.7195
D04-perturbed-011,D04,perturbed,S3,707.933,92.638,1.4626,0.8404,4.1284,-0.384
D04-perturbed-012,D04,perturbed,S2,768.583,329.196,1.2416,1.1202,2.7406,2.4651
D04-perturbed-013,D04,perturbed,S3,354.938,68.48,1.4706,0.5102,4.0616,0.9139
D04-perturbed-014,D04,perturbed,S2,795.611,49.358,1.665,0.2802,1.7714,0.7202
D04-perturbed-015,D04,perturbed,S2,45.955,76.64,1.4969,0.1668,2.7613,2.5535
D04-perturbed-016,D04,perturbed,S1,556.537,213.04,0.6138,2.4438,0.4659,-0.5137
D04-perturbed-017,D04,perturbed,S1,306.546,483.821,1.3654,2.0411,0.1752,0.7988
D04-perturbed-018,D04,perturbed,S2,335.687,70.006,1.3966,0.3214,1.9011,1.692
D04-perturbed-019,D04,perturbed,S2,167.537,407.131,1.5489,0.9646,2.191,0.6322
D04-perturbed-020,D04,perturbed,S2,372.725,77.983,1.6629,1.1409,2.3227,2.7618
D04-perturbed-021,D04,perturbed,S2,212.133,313.933,1.0667,0.8234,2.6485,2.1185
D04-perturbed-022,D04,perturbed,S2,774.989,435.392,1.0577,1.2329,3.5034,1.1833
D04-perturbed-023,D04,perturbed,S3,447.15,100.649,1.4818,0.4138,4.1891,0.0734
D04-perturbed-024,D04,perturbed,S2,96.013,318.067,0.9303,1.1158,1.8759,2.0199
D04-perturbed-025,D04,perturbed,S3,749.55,67.714,1.2308,0.3501,4.9006,-1.1973
D04-perturbed-026,D04,perturbed,S2,393.592,462.605,1.1984,0.8738,2.44,1.6742
D04-perturbed-027,D04,perturbed,S2,633.513,170.992,1.3478,0.4105,1.5569,1.8293
D04-perturbed-028,D04,perturbed,S2,738.759,247.565,0.5242,1.028,2.3589,1.3132
D04-perturbed-029,D04,perturbed,S3,2.335,460.837,1.1883,0.824,4.2825,-0.9469
D04-perturbed-030,D04,perturbed,S2,107.953,322.429,0.7205,0.7876,1.2758,1.5673
D04-perturbed-031,D04,perturbed,S2,276.875,471.032,1.4061,1.0266,2.4308,1.8906
D04-perturbed-032,D04,perturbed,S2,472.117,170.527,2.083,2.0036,2.2653,1.9999
D04-perturbed-033,D04,perturbed,S1,176.286,435.137,0.8569,1.3345,-0.2563,0.4524
D04-perturbed-034,D04,perturbed,S3,775.817,147.879,1.6689,0.1526,4.2657,1.3291
D04-perturbed-035,D04,perturbed,S2,695.169,195.366,1.0894,0.7835,1.4326,1.9956
D04-perturbed-036,D04,perturbed,S3,333.683,86.584,1.6534,0.0764,3.6694,0.4635
D04-perturbed-037,D04,perturbed,S3,384.642,37.553,1.1878,0.1796,4.3763,0.2579
D04-perturbed-038,D04,perturbed,S3,253.142,29.362,1.4821,0.6757,4.4105,-0.1047
D04-perturbed-039,D04,perturbed,S2,233.708,43.687,0.9234,1.1841,2.528,1.834
D04-perturbed-040,D04,perturbed,S1,377.36,338.02,1.4331,1.6308,-0.1187,0.102
D04-perturbed-041,D04,perturbed,S2,674.954,100.334,0.8487,1.4041,2.6026,1.4159
D04-perturbed-042,D04,perturbed,S2,505.581,375.51,1.1376,0.9197,2.5528,2.5243
D04-perturbed-043,D04,perturbed,S2,167.611,114.002,1.1292,1.7234,2.177,1.986
D04-perturbed-044,D04,perturbed,S2,585.918,314.504,2.1371,1.0764,1.8408,2.2729
D04-perturbed-045,D04,perturbed,S2,605.008,487.928,1.0793,0.8997,1.8173,1.1811
