assay,condition,position_kb,signal
Protein,C,52.6667,0.03088
Protein,C,53.0,0.02728
Protein,C,53.3333,0.02476
Protein,C,53.6667,0.02304
Protein,C,54.0,0.0219
Protein,C,54.3333,0.02116
Protein,C,54.6667,0.02069
Protein,C,55.0,0.0204
Protein,C,55.3333,0.02023
Protein,C,55.6667,0.02013
Protein,C,56.0,0.02007
Protein,C,56.3333,0.02004
Protein,C,56.6667,0.02002
Protein,C,57.0,0.02001
Protein,C,57.3333,0.02
Protein,C,57.6667,0.02
Protein,C,58.0,0.02
Protein,C,58.3333,0.02
Protein,C,58.6667,0.02
Protein,C,59.0,0.02
Protein,C,59.3333,0.02
Protein,C,59.6667,0.02
Protein,C,60.0,0.02
Protein,P,0.0,0.026
Protein,P,0.3333,0.026
Protein,P,0.6667,0.026
Protein,P,1.0,0.026
Protein,P,1.3333,0.026
Protein,P,1.6667,0.026
Protein,P,2.0,0.026
Protein,P,2.3333,0.026
Protein,P,2.6667,0.026
Protein,P,3.0,0.026
Protein,P,3.3333,0.02601
Protein,P,3.6667,0.02601
Protein,P,4.0,0.02603
Protein,P,4.3333,0.02605
Protein,P,4.6667,0.0261
Protein,P,5.0,0.02618
Protein,P,5.3333,0.02633
Protein,P,5.6667,0.0266
Protein,P,6.0,0.02705
Protein,P,6.3333,0.0278
Protein,P,6.6667,0.02902
Protein,P,7.0,0.03094
Protein,P,7.3333,0.03391
Protein,P,7.6667,0.03837
Protein,P,8.0,0.04492
Protein,P,8.3333,0.05428
Protein,P,8.6667,0.0673
Protein,P,9.0,0.08495
Protein,P,9.3333,0.10823
Protein,P,9.6667,0.13811
Protein,P,10.0,0.17537
Protein,P,10.3333,0.22049
Protein,P,10.6667,0.27351
Protein,P,11.0,0.33383
Protein,P,11.3333,0.40016
Protein,P,11.6667,0.47046
Protein,P,12.0,0.54198
Protein,P,12.3333,0.61142
Protein,P,12.6667,0.67513
Protein,P,13.0,0.72944
Protein,P,13.3333,0.771
Protein,P,13.6667,0.7971
Protein,P,14.0,0.806
Protein,P,14.3333,0.7971
Protein,P,14.6667,0.771
Protein,P,15.0,0.72944
Protein,P,15.3333,0.67513
Protein,P,15.6667,0.61142
Protein,P,16.0,0.54198
Protein,P,16.3333,0.47046
Protein,P,16.6667,0.40016
Protein,P,17.0,0.33383
Protein,P,17.3333,0.27351
Protein,P,17.6667,0.22049
Protein,P,18.0,0.17537
Protein,P,18.3333,0.13811
Protein,P,18.6667,0.10823
Protein,P,19.0,0.08495
Protein,P,19.3333,0.0673
Protein,P,19.6667,0.05428
Protein,P,20.0,0.04492
Protein,P,20.3333,0.03837
Protein,P,20.6667,0.03391
Protein,P,21.0,0.03094
Protein,P,21.3333,0.02902
Protein,P,21.6667,0.0278
Protein,P,22.0,0.02705
Protein,P,22.3333,0.0266
Protein,P,22.6667,0.02633
Protein,P,23.0,0.02618
Protein,P,23.3333,0.0261
Protein,P,23.6667,0.02605
Protein,P,24.0,0.02603
Protein,P,24.3333,0.02601
Protein,P,24.6667,0.02601
Protein,P,25.0,0.026
Protein,P,25.3333,0.026
Protein,P,25.6667,0.026
Protein,P,26.0,0.026
Protein,P,26.3333,0.02601
Protein,P,26.6667,0.02601
Protein,P,27.0,0.02603
Protein,P,27.3333,0.02606
Protein,P,27.6667,0.02611
Protein,P,28.0,0.02621
Protein,P,28.3333,0.02639
Protein,P,28.6667,0.0267
Protein,P,29.0,0.02722
Protein,P,29.3333,0.0281
Protein,P,29.6667,0.02952
Protein,P,30.0,0.03176
Protein,P,30.3333,0.03523
Protein,P,30.6667,0.04044
Protein,P,31.0,0.04807
Protein,P,31.3333,0.05899
Protein,P,31.6667,0.07418
Protein,P,32.0,0.09477
Protein,P,32.3333,0.12194
Protein,P,32.6667,0.15679
Protein,P,33.0,0.20026
Protein,P,33.3333,0.25291
Protein,P,33.6667,0.31476
Protein,P,34.0,0.38513
Protein,P,34.3333,0.46252
Protein,P,34.6667,0.54453
Protein,P,35.0,0.62798
Protein,P,35.3333,0.70899
Protein,P,35.6667,0.78332
Protein,P,36.0,0.84669
Protein,P,36.3333,0.89517
Protein,P,36.6667,0.92562
Protein,P,37.0,0.93601
Protein,P,37.3333,0.92564
Protein,P,37.6667,0.89521
Protein,P,38.0,0.84678
Protein,P,38.3333,0.78349
Protein,P,38.6667,0.70929
Protein,P,39.0,0.6285
Protein,P,39.3333,0.54543
Protein,P,39.6667,0.46402
Protein,P,40.0,0.3876
Protein,P,40.3333,0.31872
Protein,P,40.6667,0.2591
Protein,P,41.0,0.20972
Protein,P,41.3333,0.17093
Protein,P,41.6667,0.14258
Protein,P,42.0,0.12425
Protein,P,42.3333,0.1153
Protein,P,42.6667,0.11504
Protein,P,43.0,0.12276
Protein,P,43.3333,0.13768
Protein,P,43.6667,0.15898
Protein,P,44.0,0.18568
Protein,P,44.3333,0.2166
Protein,P,44.6667,0.25033
Protein,P,45.0,0.28521
Protein,P,45.3333,0.31941
Protein,P,45.6667,0.35096
Protein,P,46.0,0.37793
Protein,P,46.3333,0.39861
Protein,P,46.6667,0.41161
Protein,P,47.0,0.41603
Protein,P,47.3333,0.41156
Protein,P,47.6667,0.39851
Protein,P,48.0,0.37773
Protein,P,48.3333,0.35057
Protein,P,48.6667,0.31871
Protein,P,49.0,0.28399
Protein,P,49.3333,0.24823
Protein,P,49.6667,0.21308
Protein,P,50.0,0.17991
Protein,P,50.3333,0.14976
Protein,P,50.6667,0.12325
Protein,P,51.0,0.10068
Protein,P,51.3333,0.08205
Protein,P,51.6667,0.06712
Protein,P,52.0,0.05547
Protein,P,52.3333,0.04665
Protein,P,52.6667,0.04014
Protein,P,53.0,0.03546
Protein,P,53.3333,0.03219
Protein,P,53.6667,0.02995
Protein,P,54.0,0.02847
Protein,P,54.3333,0.02751
Protein,P,54.6667,0.0269
Protein,P,55.0,0.02652
Protein,P,55.3333,0.0263
Protein,P,55.6667,0.02617
Protein,P,56.0,0.02609
Protein,P,56.3333,0.02605
Protein,P,56.6667,0.02603
Protein,P,57.0,0.02601
Protein,P,57.3333,0.02601
Protein,P,57.6667,0.026
Protein,P,58.0,0.026
Protein,P,58.3333,0.026
Protein,P,58.6667,0.026
Protein,P,59.0,0.026
Protein,P,59.3333,0.026
Protein,P,59.6667,0.026
Protein,P,60.0,0.026
